iter	Passed	Remaining
1147	619936	460092
1148	620462	459542
1149	621053	459039
1150	621573	458484
1151	622187	457999
1152	622741	457469
1153	623256	456910
1154	623770	456351
1155	624334	455829
1156	624850	455271
1157	625405	454742
1158	625956	454209
1159	626542	453703
1160	627118	453188
1161	627690	452671
1162	628262	452154
1163	628819	451626
1164	629408	451121
1165	629975	450600
1166	630535	450073
1167	631099	449550
1168	631602	448983
1169	632128	448433
1170	632690	447907
1171	633225	447364
1172	633707	446782
1173	634244	446239
1174	634839	445738
1175	635357	445182
1176	635843	444604
1177	636381	444062
1178	636891	443501
1179	637448	442972
1180	638038	442466
1181	638667	441987
1182	639293	441506
1183	639916	441023
1184	640505	440516
1185	641043	439974
1186	641614	439454
1187	642132	438898
1188	642677	438361
1189	643166	437785
1190	643756	437278
1191	644313	436749
1192	644820	436186
1193	645418	435684
1194	645969	435151
1195	646547	434635
1196	647074	434086
1197	647630	433555
1198	648210	433041
1199	648693	432462
1200	649195	431895
1201	649755	431368
1202	650314	430840
1203	650878	430315
1204	651443	429790
1205	652010	429266
1206	652588	428751
1207	653188	428249
1208	653823	427770
1209	654423	427268
1210	654925	426701
1211	655583	426237
1212	656127	425698
1213	656636	425137
1214	657210	424617
1215	657756	424079
1216	658286	423532
1217	658846	423003
1218	659368	422450
1219	659940	421929
1220	660494	421396
1221	660968	420813
1222	661536	420289
1223	662086	419754
1224	662685	419250
1225	663199	418691
1226	663723	418140
1227	664277	417607
1228	664789	417048
1229	665354	416522
1230	665935	416007
1231	666475	415465
1232	667020	414926
1233	667530	414366
1234	668061	413819
1235	668636	413299
1236	669111	412718
1237	669707	412211
1238	670208	411645
1239	670746	411102
1240	671363	410608
1241	671907	410069
1242	672487	409551
1243	673016	409003
1244	673574	408472
1245	674083	407912
1246	674596	407354
1247	675161	406828
1248	675738	406308
1249	676349	405809
1250	676913	405282
1251	677445	404735
1252	677976	404188
1253	678538	403660
1254	679065	403110
1255	679647	402593
1256	680249	402088
1257	680788	401546
1258	681294	400984
1259	681809	400427
1260	682362	399893
1261	682923	399363
1262	683476	398829
1263	683969	398260
1264	684458	397689
1265	685013	397156
1266	685537	396605
1267	686025	396033
1268	686580	395500
1269	687091	394942
1270	687678	394427
1271	688138	393840
1272	688721	393323
1273	689297	392802
1274	689896	392294
1275	690455	391763
1276	691021	391235
1277	691550	390688
1278	692100	390152
1279	692657	389619
1280	693180	389068
1281	693740	388538
1282	694087	387888
1283	694651	387360
1284	695188	386816
1285	695739	386281
1286	696305	385754
1287	696818	385197
1288	697349	384651
1289	697951	384143
1290	698602	383663
1291	699139	383119
1292	699729	382605
1293	700257	382057
1294	700824	381529
1295	701311	380959
1296	701880	380433
1297	702482	379924
1298	703046	379396
1299	703571	378846
1300	704085	378290
1301	704566	377717
1302	705103	377173
1303	705639	376629
1304	706202	376100
1305	706770	375573
1306	707326	375040
1307	707863	374496
1308	708436	373972
